Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH &amp;amp; Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Albert Handtmann Maschinenfabrik GmbH & Co. KG	Albert Handtmann Maschinenfabrik GmbH &amp;amp; Co.KG	Hubertus-Liebrecht-Str. 10-12	BiberachRissegg Industriekaufmann	<Not Found>
allfo Vakuumverpackungen Hans Bresele KG	allfo Vakuumverpackungen Hans Bresele KG	Dieselstr. 9	<Not Found>	<Not Found>
alphaphoenix GmbH cGMP Pharma Washers	<Not Found>	<Not Found>	<Not Found>	<Not Found>
AZO CONTROLS GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ballerstaedt & Co. OHG	BALLERSTAEDT &amp;amp; CO. OHG	Rastatt	<Not Found>	<Not Found>
BBULL TECHNOLOGY BERNHARD BULL COMPUTER GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
beck packautomaten GmbH & Co. KG	Beck Packautomaten GmbH &amp;amp; Co KG	Steinbeisstr. 9	Julia Alexandra Deharde	<Not Found>
Bizerba SE & Co. KG	Bizerba SE &amp;amp; Co. KG	Wilhelm-Kraut-Str. 65	Thomas Schoen	Stefan-Maria Creutz
Breitner Abfüllanlagen GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Busch Vakuumpumpen und Systeme	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Cushion Pack Verpackungspolstermaschinen Jürgen Degen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
DOJATEC Sondermaschinen GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Epple Druckfarben AG	Epple Druckfarben AG	Gutenbergstr. 5	Gerhard Janssen	Stefan Schülling
FINESTFOG GmbH Luftbefeuchtung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
G & H GmbH Rothschenk	G &amp;amp; H GmbH Rothschenk	Industriestr. 8	Jürgen Schulte Wieking	Helmut Lafayette
Gernep GmbH PRECISION IN LABELLING	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Glatt GmbH Process Technology	<Not Found>	<Not Found>	<Not Found>	<Not Found>
